career,annual_average_income,job_demands,job_description,required_skills,required_interests,personality_fit,technical_skills,analytical_skills,communication_skills,creativity,adaptability,education_level,interest_in_tech,interest_in_design,interest_in_management,openness,conscientiousness,extraversion,agreeableness,neuroticism
Data Scientist,1500000,"Office-based, moderate mental stress","Analyze data, build predictive models","Python,SQL,Machine Learning","Technology,Analytics","High openness, high conscientiousness",0.90,0.95,0.70,0.65,0.80,1.0,0.95,0.40,0.50,0.85,0.90,0.60,0.75,0.30
Machine Learning Engineer,1400000,"Office-based, tight deadlines","Develop and deploy ML algorithms","Python,TensorFlow,Math","Technology,Research","High analytical thinking, moderate openness",0.92,0.93,0.65,0.60,0.80,1.0,0.95,0.35,0.55,0.80,0.88,0.55,0.60,0.35
AI Research Scientist,1800000,"Academic/industrial research stress","Research cutting-edge AI methods","Python,R,Deep Learning","Technology,Research","High openness, high intellectual curiosity",0.95,0.97,0.60,0.70,0.75,1.0,0.98,0.30,0.40,0.90,0.90,0.50,0.50,0.30
Software Developer,1000000,"Office-based, problem-solving stress","Write and maintain software applications","Java,Data Structures,Debugging","Technology,Problem-Solving","Moderate openness, moderate conscientiousness",0.85,0.85,0.70,0.60,0.75,0.60,0.90,0.45,0.55,0.70,0.75,0.60,0.65,0.40
Cybersecurity Analyst,1100000,"Frequent on-call, mental stress","Protect systems from security breaches","Networking,Encryption,Pen Testing","Technology,Law Enforcement","Moderate openness, high conscientiousness",0.88,0.90,0.65,0.55,0.85,0.80,0.92,0.40,0.50,0.60,0.85,0.50,0.65,0.45
UX/UI Designer,800000,"Creative pressure, tight deadlines","Design intuitive user interfaces","Prototyping,User Research,Adobe XD","Arts,Design,Technology","High creativity, moderate conscientiousness",0.70,0.75,0.80,0.95,0.80,0.60,0.65,0.98,0.50,0.90,0.70,0.55,0.70,0.40
Cloud Architect,1300000,"Scalable solutions, on-call","Design and manage cloud infrastructure","AWS,Networking,DevOps","Technology,Architecture","Moderate openness, high conscientiousness",0.90,0.88,0.70,0.60,0.80,1.0,0.92,0.40,0.50,0.75,0.85,0.65,0.65,0.35
Robotics Engineer,1250000,"Lab work, hardware complexity","Develop robotic systems for automation","Embedded C,Mechanical Design,ROS","Technology,Manufacturing","High analytical, moderate agreeableness",0.92,0.90,0.65,0.70,0.80,1.0,0.90,0.55,0.45,0.80,0.82,0.50,0.55,0.40
Renewable Energy Engineer,900000,"Field visits, sustainable solutions","Design renewable energy systems","Solar Tech,Wind Turbines,Electrical","Environment,Technology","High conscientiousness, moderate openness",0.85,0.80,0.65,0.70,0.85,0.80,0.85,0.60,0.50,0.85,0.80,0.65,0.70,0.35
Fintech Analyst,950000,"Fast-paced, tight deadlines","Analyze financial data using tech solutions","Finance,Python,Analytics","Business,Technology","Moderate openness, high conscientiousness",0.88,0.90,0.70,0.60,0.75,0.80,0.90,0.40,0.55,0.70,0.80,0.60,0.60,0.45
Healthcare Data Analyst,850000,"Healthcare compliance, accuracy","Interpret patient or hospital data","SQL,Statistics,Healthcare","Healthcare,Research","Moderate openness, moderate agreeableness",0.75,0.85,0.70,0.55,0.75,0.80,0.80,0.40,0.45,0.60,0.75,0.50,0.50,0.40
Genetic Counselor,700000,"Patient interaction, ethical constraints","Assess genetic risks, advise patients","Genetics,Counseling,Research","Healthcare,Research","High agreeableness, moderate openness",0.60,0.70,0.85,0.65,0.75,1.0,0.65,0.40,0.65,0.80,0.75,0.70,0.75,0.50
Autonomous Vehicle Engineer,1400000,"Hardware-software integration","Design self-driving car systems","C++,Sensors,Control Systems","Technology,Transportation","High openness, high analytical skills",0.94,0.92,0.65,0.65,0.85,1.0,0.97,0.40,0.50,0.80,0.88,0.50,0.55,0.35
Drone Operator,600000,"Field travel, precise controls","Operate and maintain drones","Flight Control,Regulations,Electronics","Technology,Aerial Services","Moderate openness, moderate conscientiousness",0.75,0.70,0.60,0.60,0.65,0.50,0.80,0.40,0.40,0.65,0.70,0.55,0.50,0.45
Quantum Computing Researcher,2000000,"High complexity, research stress","Explore quantum algorithms and hardware","Quantum Mechanics,Linear Algebra,Qiskit","Research,Technology","High openness, high intellectual curiosity",0.98,0.98,0.55,0.70,0.75,1.0,0.98,0.30,0.40,0.90,0.90,0.60,0.45,0.30
Blockchain Developer,1200000,"Fast-paced, emerging tech","Build decentralized applications","Solidity,Smart Contracts,Cryptography","Technology,Business","Moderate openness, moderate conscientiousness",0.93,0.90,0.65,0.60,0.80,0.80,0.95,0.45,0.50,0.70,0.80,0.60,0.55,0.35
Full Stack Developer,1000000,"Agile environment, multi-tasking","Develop front-end and back-end solutions","JavaScript,Node.js,React","Technology,Problem-Solving","Moderate openness, moderate extraversion",0.88,0.85,0.70,0.60,0.75,0.60,0.90,0.50,0.55,0.70,0.75,0.60,0.65,0.40
IoT Solutions Architect,1300000,"System integration, IoT devices","Plan and implement IoT ecosystems","Embedded Systems,Cloud,Networking","Technology,Manufacturing","Moderate openness, high analytical skills",0.92,0.90,0.65,0.60,0.80,1.0,0.93,0.50,0.55,0.75,0.84,0.55,0.60,0.35
AR/VR Developer,900000,"Creative dev, user experience","Create augmented/virtual reality apps","Unity,3D Modeling,C#","Technology,Arts","High creativity, moderate openness",0.85,0.80,0.70,0.90,0.80,0.60,0.88,0.95,0.40,0.85,0.82,0.60,0.70,0.45
Industrial Designer,750000,"Production constraints, creative demands","Design products balancing form/function","CAD,Materials,User Research","Arts,Manufacturing","High creativity, moderate conscientiousness",0.70,0.75,0.80,0.90,0.70,0.60,0.65,0.90,0.50,0.80,0.70,0.55,0.65,0.40
Civil Services Officer,600000,"High responsibility, public-facing","Manage government policies, public welfare","Administration,Leadership,Policy","Government,Civil Services","High conscientiousness, moderate openness",0.50,0.60,0.85,0.50,0.75,1.0,0.65,0.40,0.80,0.60,0.80,0.60,0.65,0.35
Urban Planner,650000,"Regulatory adherence, site analysis","Plan city layouts and infrastructure","GIS,Zoning,Architecture","Government,Environment","Moderate openness, moderate conscientiousness",0.55,0.70,0.80,0.60,0.70,0.80,0.65,0.40,0.75,0.65,0.75,0.55,0.60,0.40
Digital Marketing Specialist,700000,"Client pressure, creative deadlines","Create and execute online marketing strategies","SEO,Social Media,Analytics","Business,Marketing","Moderate extraversion, moderate creativity",0.65,0.70,0.85,0.80,0.80,0.60,0.60,0.80,0.75,0.78,0.70,0.60,0.65,0.45
